"","X","FirstName","LastName","FullName","Team","Year","Position","Round","SuperCoachScore","Rank","Injured","Number","Marks","Handballs","Disposals","Goals","Behinds","Hitouts","Tackles","Rebounds50s","Inside50s","Clearances","Clangers","FreesFor","FreesAgainst","BrownlowVotes","ContestedPossessions","UncontestedPossessions","ContestedMarks","MarksInside50","OnePercenters","Bounces","GoalAssists","PercentagePlayed","PointDifference","BrownlowBinary","Pairs"
"1",1,"Aaron","Francis","Francis, Aaron","Essendon",2016,"Key defender",20,51,38,0,10,5,2,8,1,0,0,2,0,0,0,2,1,1,0,3,5,0,2,4,0,0,84,-66,0,170
"2",2,"Aaron","Francis","Francis, Aaron","Essendon",2016,"Key defender",18,86,12,0,10,7,7,16,0,1,0,2,2,1,0,2,1,0,0,9,7,4,2,5,0,0,78,-37,0,151
"3",3,"Aaron","Francis","Francis, Aaron","Essendon",2016,"Key defender",19,42,40,0,10,0,2,7,0,1,0,1,1,0,1,1,3,1,0,6,2,0,0,7,0,0,76,-82,0,162
"4",4,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",23,104,6,0,33,3,7,27,0,0,0,5,0,5,3,1,0,0,0,6,22,0,0,2,0,2,80,-23,0,195
"5",5,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",22,106,8,0,33,3,11,26,0,1,0,5,4,6,7,0,3,0,0,12,12,0,0,1,2,0,80,-71,0,185
"6",6,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",4,114,5,0,33,4,11,26,1,3,0,7,2,6,3,3,1,1,0,12,15,0,1,0,1,0,87,-13,0,31
"7",7,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",2,124,3,0,33,11,15,32,0,0,0,4,3,3,3,6,2,2,3,8,27,0,0,2,0,0,80,26,1,15
"8",8,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",11,52,38,0,33,0,7,19,0,1,0,2,0,4,2,2,0,0,0,5,14,0,0,0,0,0,86,-38,0,95
"9",9,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",6,76,19,0,33,5,10,28,0,1,0,4,2,2,3,4,1,0,0,12,15,0,0,0,0,0,79,-120,0,50
"10",10,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",3,134,2,0,33,6,13,40,1,2,0,4,3,7,2,5,2,0,3,9,31,0,1,0,0,2,78,54,1,23
"11",11,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",8,84,17,0,33,4,13,32,0,0,0,1,6,4,2,5,1,1,0,7,25,0,0,0,0,0,85,-91,0,67
"12",12,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",16,94,9,0,33,3,9,29,0,1,0,6,0,8,7,7,1,2,0,13,17,0,0,2,2,1,77,26,0,130
"13",13,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",10,68,25,0,33,7,6,20,1,1,4,3,1,5,1,1,0,0,0,2,18,0,0,0,0,0,73,-77,0,90
"14",14,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",1,129,3,0,33,4,17,36,2,1,0,3,1,9,4,2,0,1,3,11,25,0,0,1,1,0,77,61,1,3
"15",15,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",15,118,4,0,33,6,9,27,2,2,0,3,3,7,2,4,2,1,2,7,20,1,0,2,2,0,77,40,1,123
"16",16,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",21,87,12,0,33,4,9,29,0,0,2,4,1,6,3,3,0,0,0,10,20,0,0,1,0,1,78,-6,0,178
"17",17,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",7,95,7,0,33,4,10,21,1,0,0,7,2,5,3,2,1,1,0,8,14,0,1,0,2,2,85,-73,0,59
"18",18,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",5,90,13,0,33,3,16,32,0,0,0,1,1,5,2,2,1,0,0,9,23,0,0,0,0,0,77,-38,0,39
"19",19,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",14,71,22,0,33,6,7,20,0,1,0,3,0,4,1,2,2,0,0,5,15,0,0,0,0,1,73,-26,0,120
"20",20,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",17,78,19,0,33,6,10,29,0,3,1,1,5,4,4,3,2,1,0,7,22,0,0,2,0,1,80,-48,0,140
"21",21,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",18,48,37,0,17,0,4,10,0,0,0,4,1,2,1,3,0,1,0,4,6,0,0,6,1,0,70,40,0,145
"22",22,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",12,56,28,0,17,4,1,13,0,1,0,0,4,3,1,3,0,2,0,1,12,0,0,1,0,1,79,-31,0,103
"23",23,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",13,84,16,0,17,2,4,21,0,2,0,1,1,4,2,1,2,0,0,10,10,0,0,0,0,0,79,-9,0,109
"24",24,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",7,59,37,0,17,6,2,16,0,0,0,1,4,2,1,2,0,0,0,5,11,0,0,2,0,0,74,7,0,62
"25",25,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",20,66,29,0,17,7,5,17,0,1,0,1,3,1,0,0,1,0,0,3,14,0,0,1,0,0,71,-14,0,167
"26",26,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",8,52,35,0,17,2,7,19,0,1,0,1,2,1,0,1,0,0,0,1,17,0,0,0,0,0,75,14,0,65
"27",27,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",19,65,26,0,17,3,8,13,1,1,0,4,0,2,1,0,0,0,0,1,13,0,1,1,1,0,73,23,0,158
"28",28,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",16,38,41,0,17,1,4,12,0,0,0,2,1,4,0,2,0,2,0,1,12,0,0,2,0,0,87,-32,0,134
"29",29,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",22,51,34,0,17,4,6,14,0,0,0,4,1,0,0,1,0,0,0,5,9,0,0,0,0,0,81,-9,0,182
"30",30,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",23,106,8,0,17,6,9,28,0,0,0,2,4,3,0,1,1,0,0,6,20,0,0,2,4,0,85,-37,0,194
"31",31,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",21,47,39,0,17,2,4,9,0,0,0,3,3,0,0,2,2,1,0,4,5,0,0,1,0,0,72,-39,0,174
"32",32,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",17,56,34,0,17,1,3,13,0,0,0,0,4,2,1,1,1,0,0,5,8,0,0,0,1,0,76,-28,0,139
"33",33,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",14,59,31,0,17,4,4,18,0,0,0,2,5,1,1,1,0,0,0,4,9,1,0,2,0,0,86,-33,0,115
"34",34,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",9,68,26,0,17,4,5,20,0,0,0,2,4,5,3,2,1,0,0,6,12,0,0,0,0,0,78,67,0,77
"35",35,"Aaron","Sandilands","Sandilands, Aaron","Fremantle",2016,"Ruck",3,27,44,0,31,0,3,3,0,0,11,0,0,0,0,1,1,1,0,2,1,0,0,2,0,0,26,-33,0,24
"36",36,"Aaron","Sandilands","Sandilands, Aaron","Fremantle",2016,"Ruck",2,108,7,0,31,2,5,6,0,0,48,2,0,1,2,2,0,1,0,5,2,1,0,3,0,1,88,-26,0,15
"37",37,"Aaron","Sandilands","Sandilands, Aaron","Fremantle",2016,"Ruck",23,105,6,0,31,3,10,15,0,1,35,3,2,2,5,4,4,2,0,14,2,2,1,3,0,1,85,20,0,198
"38",38,"Aaron","Sandilands","Sandilands, Aaron","Fremantle",2016,"Ruck",21,52,37,0,31,1,4,5,0,0,28,1,1,2,1,3,0,2,0,4,1,0,0,4,0,0,51,-72,0,180
"39",39,"Aaron","Sandilands","Sandilands, Aaron","Fremantle",2016,"Ruck",20,62,32,0,31,4,10,12,0,0,23,2,0,1,2,4,0,3,0,8,4,1,0,3,0,0,79,-46,0,171
